日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2020-09-30,'000001,上证指数,3218.0521,3244.9134,3202.3435,3232.7104,3224.3593,-6.3072,-0.1956,,153504457,2.05762857294e+11,,,None
2020-09-29,'000001,上证指数,3224.3593,3242.7937,3219.7902,3231.8551,3217.5346,6.8247,0.2121,,151349870,2.07307813844e+11,,,None
2020-09-28,'000001,上证指数,3217.5346,3238.1825,3210.8925,3224.9769,3219.4179,-1.8833,-0.0585,,155982783,2.09672387617e+11,,,None
2020-09-25,'000001,上证指数,3219.4179,3239.4662,3208.0349,3234.3739,3223.1764,-3.7585,-0.1166,,164822419,2.20674476958e+11,,,None
2020-09-24,'000001,上证指数,3223.1764,3265.3451,3221.2365,3262.879,3279.7105,-56.5341,-1.7238,,206736011,2.58259919724e+11,,,None
2020-09-23,'000001,上证指数,3279.7105,3289.7624,3264.8907,3278.8358,3274.3015,5.409,0.1652,,169178068,2.40742428787e+11,,,None
2020-09-22,'000001,上证指数,3274.3015,3320.2278,3265.7025,3290.6656,3316.9351,-42.6336,-1.2853,,214015065,2.69113293656e+11,,,None
2020-09-21,'000001,上证指数,3316.9351,3350.5893,3313.0714,3348.8988,3338.0897,-21.1546,-0.6337,,216503093,2.87691308071e+11,,,None
2020-09-18,'000001,上证指数,3338.0897,3338.3243,3268.526,3270.911,3270.435,67.6547,2.0687,,256260788,3.37025892904e+11,,,None
2020-09-17,'000001,上证指数,3270.435,3290.4094,3248.499,3277.3238,3283.9244,-13.4894,-0.4108,,202931972,2.79311053428e+11,,,None
2020-09-16,'000001,上证指数,3283.9244,3302.4556,3271.075,3293.1678,3295.6795,-11.7551,-0.3567,,200443364,2.42270893454e+11,,,None
2020-09-15,'000001,上证指数,3295.6795,3297.6904,3263.7522,3277.1284,3278.8138,16.8657,0.5144,,197684400,2.51763868534e+11,,,None
2020-09-14,'000001,上证指数,3278.8138,3283.5325,3261.1479,3275.9181,3260.3461,18.4677,0.5664,,213924137,2.69219919654e+11,,,None
2020-09-11,'000001,上证指数,3260.3461,3262.4976,3220.5363,3225.7836,3234.8234,25.5227,0.789,,221698830,2.5484499426e+11,,,None
2020-09-10,'000001,上证指数,3234.8234,3285.4731,3227.6435,3282.232,3254.6279,-19.8045,-0.6085,,312472804,3.09676743626e+11,,,None
2020-09-09,'000001,上证指数,3254.6279,3289.6148,3238.5606,3280.9974,3316.417,-61.7891,-1.8631,,351509747,3.41054534059e+11,,,None
2020-09-08,'000001,上证指数,3316.417,3324.3929,3276.4431,3301.2173,3292.5907,23.8263,0.7236,,271066278,3.20229901328e+11,,,None
2020-09-07,'000001,上证指数,3292.5907,3368.2446,3285.6326,3349.9184,3355.3666,-62.7759,-1.8709,,260616567,3.57726463915e+11,,,None
2020-09-04,'000001,上证指数,3355.3666,3360.1061,3328.5518,3336.4076,3384.9806,-29.614,-0.8749,,221636550,3.08179657649e+11,,,None
2020-09-03,'000001,上证指数,3384.9806,3425.6294,3374.2634,3404.0319,3404.8017,-19.8211,-0.5822,,255346279,3.507065639e+11,,,None
2020-09-02,'000001,上证指数,3404.8017,3421.3959,3377.2111,3420.4693,3410.6068,-5.8051,-0.1702,,261546319,3.4563898233e+11,,,None
2020-09-01,'000001,上证指数,3410.6068,3410.6068,3381.7108,3389.7424,3395.6775,14.9293,0.4397,,246999249,3.26850955348e+11,,,None
2020-08-31,'000001,上证指数,3395.6775,3442.7363,3395.4675,3416.5497,3403.8066,-8.1291,-0.2388,,323473890,4.36930125416e+11,,,None
2020-08-28,'000001,上证指数,3403.8066,3405.8768,3339.6494,3346.2893,3350.1128,53.6938,1.6027,,271325549,3.79367046371e+11,,,None
2020-08-27,'000001,上证指数,3350.1128,3351.8324,3312.9859,3333.4909,3329.7388,20.374,0.6119,,237099353,3.17153391524e+11,,,None
2020-08-26,'000001,上证指数,3329.7388,3382.6032,3320.1355,3371.8083,3373.5781,-43.8393,-1.2995,,294451036,3.81928906554e+11,,,None
2020-08-25,'000001,上证指数,3373.5781,3408.8697,3364.1602,3392.8797,3385.6383,-12.0602,-0.3562,,277113421,3.55997790768e+11,,,None
2020-08-24,'000001,上证指数,3385.6383,3396.5663,3368.0258,3391.1132,3380.6825,4.9558,0.1466,,266227841,3.45683380015e+11,,,None
2020-08-21,'000001,上证指数,3380.6825,3393.9175,3358.0005,3380.2269,3363.8988,16.7837,0.4989,,287488340,3.61281752665e+11,,,None
2020-08-20,'000001,上证指数,3363.8988,3394.557,3352.7767,3385.9645,3408.1288,-44.23,-1.2978,,335600982,4.01815550096e+11,,,None
2020-08-19,'000001,上证指数,3408.1288,3454.4613,3406.1642,3444.5646,3451.0894,-42.9606,-1.2448,,405722214,4.98262158316e+11,,,None
2020-08-18,'000001,上证指数,3451.0894,3456.7206,3432.6402,3441.9337,3438.801,12.2884,0.3573,,380729275,4.93052155326e+11,,,None
2020-08-17,'000001,上证指数,3438.801,3450.8987,3369.3742,3373.9018,3360.0988,78.7022,2.3423,,434598260,5.37425075053e+11,,,None
2020-08-14,'000001,上证指数,3360.0988,3362.0267,3302.7357,3315.6687,3320.7261,39.3727,1.1857,,305998376,3.6746742174e+11,,,None
2020-08-13,'000001,上证指数,3320.7261,3338.1518,3309.4629,3328.1754,3319.2656,1.4605,0.044,,324291278,3.87162288598e+11,,,None
2020-08-12,'000001,上证指数,3319.2656,3335.729,3263.2653,3327.4929,3340.29,-21.0244,-0.6294,,378328959,4.80731246078e+11,,,None
2020-08-11,'000001,上证指数,3340.29,3409.0589,3336.0945,3379.4874,3379.2524,-38.9624,-1.153,,400452706,5.14020764101e+11,,,None
2020-08-10,'000001,上证指数,3379.2524,3399.9323,3335.0427,3341.5276,3354.0352,25.2172,0.7518,,381379630,5.27083944585e+11,,,None
2020-08-07,'000001,上证指数,3354.0352,3374.133,3307.7127,3370.5878,3386.4631,-32.4279,-0.9576,,403929633,5.6143564955e+11,,,None
2020-08-06,'000001,上证指数,3386.4631,3392.7048,3334.3341,3380.7621,3377.5648,8.8983,0.2635,,415302510,5.70488248065e+11,,,None
2020-08-05,'000001,上证指数,3377.5648,3383.6365,3333.877,3363.3324,3371.6875,5.8773,0.1743,,385823027,5.26515054658e+11,,,None
2020-08-04,'000001,上证指数,3371.6875,3391.0743,3352.5017,3376.4402,3367.9658,3.7217,0.1105,,442328551,6.04942141521e+11,,,None
2020-08-03,'000001,上证指数,3367.9658,3368.1028,3327.6773,3332.1826,3310.0065,57.9593,1.751,,407460867,5.72430759825e+11,,,None
2020-07-31,'000001,上证指数,3310.0065,3333.7859,3261.6135,3280.7959,3286.822,23.1845,0.7054,,353758979,4.95778040702e+11,,,None
2020-07-30,'000001,上证指数,3286.822,3312.4508,3282.1617,3299.5718,3294.5521,-7.7301,-0.2346,,340704121,4.76974005609e+11,,,None
2020-07-29,'000001,上证指数,3294.5521,3294.5521,3209.9902,3221.9883,3227.9604,66.5917,2.063,,324924062,4.53094399516e+11,,,None
2020-07-28,'000001,上证指数,3227.9604,3245.2967,3208.4939,3226.1329,3205.2268,22.7336,0.7093,,289377861,3.89873696215e+11,,,None
2020-07-27,'000001,上证指数,3205.2268,3221.9846,3174.6583,3210.3863,3196.7684,8.4584,0.2646,,299319021,4.02231919289e+11,,,None
2020-07-24,'000001,上证指数,3196.7684,3319.1268,3184.9645,3310.6449,3325.1102,-128.3418,-3.8598,,427054026,5.84311865017e+11,,,None
2020-07-23,'000001,上证指数,3325.1102,3336.3002,3257.8269,3306.1489,3333.1635,-8.0533,-0.2416,,407042499,5.46887089708e+11,,,None
2020-07-22,'000001,上证指数,3333.1635,3381.9757,3311.7862,3315.1816,3320.8947,12.2688,0.3694,,393335335,5.40577040594e+11,,,None
2020-07-21,'000001,上证指数,3320.8947,3336.6791,3300.5719,3330.5467,3314.149,6.7457,0.2035,,359252029,4.8886218037e+11,,,None
2020-07-20,'000001,上证指数,3314.149,3314.149,3220.684,3243.9105,3214.1287,100.0203,3.1119,,418555306,5.44045656232e+11,,,None
2020-07-17,'000001,上证指数,3214.1287,3252.7786,3181.2745,3214.4022,3210.0986,4.0301,0.1255,,359652413,4.86536118269e+11,,,None
2020-07-16,'000001,上证指数,3210.0986,3373.5317,3209.7272,3356.359,3361.3044,-151.2058,-4.4984,,490613123,6.79468340648e+11,,,None
2020-07-15,'000001,上证指数,3361.3044,3432.4506,3345.7488,3422.0778,3414.6186,-53.3142,-1.5614,,492030542,6.74727409786e+11,,,None
2020-07-14,'000001,上证指数,3414.6186,3451.2224,3366.0828,3435.0237,3443.2863,-28.6677,-0.8326,,543211492,7.07327005157e+11,,,None
2020-07-13,'000001,上证指数,3443.2863,3458.7914,3369.0378,3379.3867,3383.3222,59.9641,1.7723,,558006875,7.17397053099e+11,,,None
2020-07-10,'000001,上证指数,3383.3222,3433.1085,3372.5066,3418.9347,3450.5935,-67.2713,-1.9496,,556120011,7.03197550444e+11,,,None
2020-07-09,'000001,上证指数,3450.5935,3456.9721,3393.6379,3403.4832,3403.4401,47.1534,1.3855,,620001823,7.51406830395e+11,,,None
2020-07-08,'000001,上证指数,3403.4401,3421.5312,3327.7062,3337.5518,3345.3369,58.1032,1.7368,,587081685,6.96807634538e+11,,,None
2020-07-07,'000001,上证指数,3345.3369,3407.0811,3336.2416,3380.9536,3332.8807,12.4562,0.3737,,657840159,7.93638372425e+11,,,None
2020-07-06,'000001,上证指数,3332.8807,3337.2723,3187.8393,3187.8393,3152.8126,180.0681,5.7113,,643878906,7.24153675701e+11,,,None
2020-07-03,'000001,上证指数,3152.8126,3152.8126,3103.9952,3103.9952,3090.5693,62.2433,2.014,,458793851,5.35489334735e+11,,,None
2020-07-02,'000001,上证指数,3090.5693,3092.4432,3021.6736,3023.7189,3025.981,64.5883,2.1345,,391127996,4.78216482346e+11,,,None
2020-07-01,'000001,上证指数,3025.981,3026.1862,2984.9841,2991.1813,2984.6741,41.3069,1.384,,273313140,3.69883802297e+11,,,None
2020-06-30,'000001,上证指数,2984.6741,2990.8253,2965.1054,2965.1054,2961.5164,23.1577,0.782,,214957214,2.97312328414e+11,,,None
2020-06-29,'000001,上证指数,2961.5164,2977.9122,2951.7702,2973.0757,2979.5505,-18.0341,-0.6053,,220622729,2.93886016005e+11,,,None
2020-06-24,'000001,上证指数,2979.5505,2982.9425,2971.2235,2972.9827,2970.6203,8.9302,0.3006,,213200732,2.97008784132e+11,,,None
2020-06-23,'000001,上证指数,2970.6203,2972.4025,2949.8469,2960.8875,2965.2717,5.3486,0.1804,,225212208,3.0537877053e+11,,,None
2020-06-22,'000001,上证指数,2965.2717,2983.4382,2959.035,2966.9008,2967.6341,-2.3624,-0.0796,,267883834,3.46028748359e+11,,,None
